PLAYER,BIRTHDAY,BIRTH STATE / COUNTRY,BIRTH CITY,NATIONALITY,POS,HEIGHT,WEIGHT,COLLEGE / TEAM,DRAFT,PICK,TEAM,REAL TEAM,
Acie Law,1/25/1985,Texas,Dallas,United States,G,6-3,202,Texas A&M,2007,11,ATL,ATL,Acie Law
Adam Flagler,12/1/1999,Georgia,Duluth,United States,G,6-3,180,Baylor,2023,UND,,,Adam Flagler
Adam Harrington,7/5/1980,Massachussetts,Bernardston,United States,G,6-5,200,Auburn,2002,UND,,,Adam Harrington
Adam Keefe,2/22/1970,California,Irvine,United States,F,6-9,230,Stanford,1992,10,ATL,ATL,Adam Keefe
Adam Mokoka,7/18/1998,France,Paris,France,G,6-4,190,Mega Basket,2019,UND,,,Adam Mokoka
Adam Morrison,7/19/1984,Montana,Glendive,United States,F,6-8,205,Gonzaga,2006,3,CHA,CHA,Adam Morrison
Adama Sanogo,2/12/2002,Mali,Bamako,Mali,F,6-9,245,Connecticut,2023,UND,,,Adama Sanogo
Ade Murkey,1/29/1998,Minnesota,Minneapolis,United States,G,6-5,200,Denver,2020,UND,,,Ade Murkey
Adem Bona,3/28/2003,Nigeria,Lagos,Turkey,F,6-10,220,UCLA,2024,41,PHI,PHI,Adem Bona
Admiral Schofield,3/30/1997,Great Britain,London,United States,F,6-5,241,Tennessee,2019,42,PHI,WAS,Admiral Schofield
Adonal Foyle,3/9/1975,St. Vincent,Canouan,United States,C,6-10,270,Colgate,1997,8,GSW,GSW,Adonal Foyle
Adonis Jordan,8/21/1970,New York,New York City,United States,G,5-11,170,Kansas,1993,42,OKC,OKC,Adonis Jordan
Adonis Thomas,3/25/1993,Tennessee,Memphis,United States,G-F,6-7,240,Memphis,2013,UND,,,Adonis Thomas
Adreian Payne,2/19/1991,Ohio,Dayton,United States,F,6-10,237,Michigan St,2014,15,ATL,ATL,Adreian Payne
Adrian Branch,11/17/1963,District Columbia,Washington,United States,F,6-7,185,Maryland,1985,46,CHI,CHI,Adrian Branch
Adrian Caldwell,7/4/1966,Texas,Falls County,United States,F,6-8,265,Lamar,1989,UND,,,Adrian Caldwell
Adrian Dantley,2/28/1956,District Columbia,Washington,United States,F,6-5,208,Notre Dame,1976,6,LAC,LAC,Adrian Dantley
Adrian Griffin,7/4/1974,Kansas,Wichita,United States,G-F,6-5,230,Seton Hall,1996,UND,,,Adrian Griffin
Adrian Smith,10/5/1936,Kentucky,Farmington,United States,G,6-1,180,Kentucky,1958,84,SAC,SAC,Adrian Smith
Ahmad Caver,9/12/1996,Georgia,Atlanta,United States,G,6-2,174,Old Dominion,2019,UND,,,Ahmad Caver
AJ Green,9/27/1999,Iowa,Cedar Falls,United States,G,6-4,190,Northern Iowa,2022,UND,,,AJ Green
AJ Griffin,8/25/2003,Texas,Dallas,United States,F,6-6,220,Duke,2022,16,ATL,ATL,AJ Griffin
AJ Guyton,2/12/1978,Illinois,Peoria,United States,G,6-2,185,Indiana,2000,32,CHI,CHI,AJ Guyton
AJ Hammons,8/27/1992,Indiana,Gary,United States,C,7-0,260,Purdue,2016,46,DAL,DAL,AJ Hammons
AJ Johnson,12/1/2004,California,Fresno,United States,G,6-5,165,Illawarra,2024,23,MIL,MIL,AJ Johnson
AJ Lawson,7/15/2000,Canada,Toronto,Canada,G,6-6,179,South Carolina,2021,UND,,,AJ Lawson
AJ Price,10/7/1986,New Jersey,Orange,United States,G,6-2,185,Connecticut,2009,52,IND,IND,AJ Price
Ajay Mitchell,6/25/2002,Belgium,Ans,Belgium,G,6-5,235,UC Santa Barbara,2024,38,NYK,OKC,Ajay Mitchell
Al Attles,11/7/1936,New Jersey,Newark,United States,G,6-1,175,North Carolina A&T,1960,39,GSW,GSW,Al Attles
Al Bianchi,3/26/1932,New York,Long Island City,United States,G,6-3,185,Bowling Green,1954,18,LAL,LAL,Al Bianchi
Al Brightman,9/22/1923,California,Eureka,United States,F,6-2,195,Charleston,,,,,Al Brightman
Al Butler,7/9/1938,New York,Rochester,United States,G,6-2,175,Niagara,1961,17,BOS,BOS,Al Butler
Al Carlson,9/17/1951,California,Oceanside,United States,C,6-11,235,Oregon,1972,UND,,,Al Carlson
Al Cervi,2/12/1917,New York,Buffalo,United States,G,5-11,170,East HS (NY),,,,,Al Cervi
Al Eberhard,5/10/1952,Iowa,Cedar Rapids,United States,F,6-6,225,Missouri,1974,15,DET,DET,Al Eberhard
Al Ferrari,7/6/1933,New York,New York City,United States,G,6-4,190,Michigan St,1955,15,ATL,ATL,Al Ferrari
Al Fleming,4/5/1954,Illinois,Chicago,United States,F,6-7,215,Arizona,1976,30,PHX,PHX,Al Fleming
Al Guokas,8/7/1925,Pennsylvania,Philadelphia,United States,,,,St. Joseph's (PA),1949,UND,,,Al Guokas
Al Hairston,12/11/1945,West Virginia,Beckley,United States,G,6-1,170,Bowling Green,1968,52,OKC,OKC,Al Hairston
Al Harrington,2/17/1980,New Jersey,Orange,United States,F,6-9,245,St. Patrick HS (NJ),1998,25,IND,IND,Al Harrington
Al Henry,2/9/1949,Tennessee,Memphis,United States,C,6-9,190,Wisconsin,1970,12,PHI,PHI,Al Henry
Al Horford,6/3/1986,Dominican Republic,Puerto Plata,Dominican Republic,C-F,6-9,240,Florida,2007,3,ATL,ATL,Al Horford
Al Jackson,7/29/1943,Ohio,Cleveland,United States,G,6-1,185,Wilberforce,1967,UND,,,Al Jackson
Al Jefferson,1/4/1985,Mississippi,Monticello,United States,C,6-10,280,No College,2004,15,BOS,BOS,Al Jefferson
Al Lucas,7/4/1922,New York,Levittown,United States,F,6-3,195,Fordham,1947,UND,,,Al Lucas
Al Lujack,10/5/1920,Maryland,Bethesda,United States,F,6-3,220,Georgetown,,,,,Al Lujack
Al Masino,2/5/1928,New York,Richmond,United States,G,5-10,174,Canisius,1950,UND,,,Al Masino
Al McGuire,9/7/1928,New York,New York City,United States,G,6-2,180,St. John's,1951,56,NYK,NYK,Al McGuire
Al Miksis,2/2/1928,Illinois,Chicago,United States,C,6-7,210,Western Illinois,1949,UND,,,Al Miksis
Al Negratti,6/12/1921,New Jersey,Jersey City,United States,F,6-3,200,Seton Hall,,,,,Al Negratti
Al Roges,10/25/1930,Ohio,,United States,F,6-4,195,Long Island-Brooklyn,1953,UND,,,Al Roges
Al Skinner,6/16/1952,New York,Mount Vernon,United States,G,6-3,190,Massachusetts,1974,160,BOS,BOS,Al Skinner
Al Thornton,12/7/1983,Georgia,Perry,United States,F,6-8,235,Florida St,2007,14,LAC,LAC,Al Thornton
Al Tucker,2/24/1943,Ohio,Dayton,United States,F,6-8,190,Oklahoma Baptist,1967,6,OKC,OKC,Al Tucker
Al Wood,6/2/1958,Georgia,Gray,United States,G,6-6,193,North Carolina,1981,4,ATL,ATL,Al Wood
Al-Farouq Aminu,9/21/1990,Georgia,Atlanta,Nigeria,F,6-8,220,Wake Forest,2010,8,LAC,LAC,Al-Farouq Aminu
Alaa Abdelnaby,6/24/1968,Egypt,Cairo,Egypt,F,6-10,240,Duke,1990,25,POR,POR,Alaa Abdelnaby
Alan Anderson,10/16/1982,Minnesota,Minneapolis,United States,F-G,6-6,220,Michigan St,2005,UND,,,Alan Anderson
Alan Hardy,5/25/1957,Michigan,Detroit,United States,G,6-6,195,Michigan,1979,UND,,,Alan Hardy
Alan Henderson,12/2/1972,Indiana,Indianapolis,United States,F-C,6-9,240,Indiana,1995,16,ATL,ATL,Alan Henderson
Alan Ogg,7/5/1967,Ohio,Lancaster,United States,C,7-2,240,Alabama-Birmingham,1990,UND,,,Alan Ogg
Alan Sawyer,1/1/1928,California,Long Beach,United States,F,6-5,195,UCLA,1950,29,WSC,WSC,Alan Sawyer
Alan Williams,1/28/1993,Arizona,Phoenix,United States,F-C,6-8,265,UC Santa Barbara,2015,UND,,,Alan Williams
Alando Tucker,2/11/1984,Illinois,Lockport,United States,F,6-6,205,Wisconsin,2007,29,PHX,PHX,Alando Tucker
Albert King,12/17/1959,New York,New York City,United States,F,6-6,190,Maryland,1981,10,BKN,BKN,Albert King
Alec Burks,7/20/1991,Missouri,Grandview,United States,G,6-5,214,Colorado,2011,12,UTA,UTA,Alec Burks
Alec Kessler,1/13/1967,Minnesota,Minneapolis,United States,F,6-11,230,Georgia,1990,12,HOU,MIA,Alec Kessler
Alec Peters,4/13/1995,Illinois,Washington,United States,F,6-9,235,Valparaiso,2017,54,PHX,PHX,Alec Peters
Aleem Ford,12/22/1997,Georgia,Lawrenceville,Puerto Rico,F,6-8,220,Wisconsin,2021,UND,,,Aleem Ford
Aleksandar Pavlovic,11/15/1983,Montenegro,Bar,Serbia,G-F,6-7,235,Buducnost,2003,19,UTA,UTA,Aleksandar Pavlovic
Aleksandar Radojevic,8/8/1976,Bosnia,Herceg Novi,Bosnia,C,7-3,250,Barton County CC,1999,12,TOR,TOR,Aleksandar Radojevic
Aleksej Pokusevski,12/26/2001,Serbia,Belgrade,Serbia,F,7-0,210,Olympiacos,2020,17,MIN,OKC,Aleksej Pokusevski
Alen Smailagic,8/18/2000,Serbia,Belgrade,Serbia,F,6-10,215,Santa Cruz Warriors,2019,39,NOP,GSW,Alen Smailagic
Alex Abrines,8/1/1993,Spain,Palma de Mallorca,Spain,G,6-6,190,Barcelona,2013,32,OKC,OKC,Alex Abrines
Alex Acker,1/21/1983,California,Compton,United States,G,6-5,185,Pepperdine,2005,60,DET,DET,Alex Acker
Alex Blackwell,6/27/1970,New Jersey,Toms River,United States,F,6-6,250,Monmouth,1992,UND,,,Alex Blackwell
Alex Bradley,10/30/1959,Florida,Bradenton,United States,F,6-6,215,Villanova,1981,86,NYK,NYK,Alex Bradley
Alex Caruso,2/28/1994,Texas,College Station,United States,G,6-5,186,Texas A&M,2016,UND,,,Alex Caruso
Alex Ducas,12/11/2000,Australia,Geraldton,Australia,G,6-7,190,Mount Saint Mary's,2024,ND,,,Alex Ducas
Alex English,1/5/1954,South Carolina,Columbia,United States,F,6-8,190,South Carolina,1976,23,MIL,MIL,Alex English
Alex Fudge,5/6/2003,Florida,Jacksonville,United States,F,6-8,200,Florida,2023,UND,,,Alex Fudge
Alex Garcia,3/4/1980,Brazil,Orlandia,Brazil,G-F,6-3,195,Ribeirao Preto,2002,UND,,,Alex Garcia
Alex Groza,10/7/1926,Ohio,Martins Ferry,United States,C,6-7,218,Kentucky,1949,2,INO,INO,Alex Groza
Alex Hannum,7/19/1923,California,Los Angeles,United States,F,6-7,210,USC,1948,38,INJ,INJ,Alex Hannum
Alex Kirk,11/14/1991,New Mexico,Los Alamos,United States,C,7-0,245,New Mexico,2014,UND,,,Alex Kirk
Alex Len,6/16/1993,Ukraine,Antratsit,Ukraine,C,7-0,250,Maryland,2013,5,PHX,PHX,Alex Len
Alex Poythress,9/6/1993,Georgia,Savannah,United States,F,6-9,235,Kentucky,2016,UND,,,Alex Poythress
Alex Reese,5/21/1999,Alabama,Pelham,United States,F-C,6-9,210,Alabama,2021,ND,,,Alex Reese
Alex Sarr,4/26/2005,France,Bordeaux,France,C,7-0,205,Perth,2024,2,WAS,WAS,Alex Sarr
Alex Scales,7/3/1978,Wisconsin,Racine,United States,G,6-4,195,Oregon,2000,UND,,,Alex Scales
Alex Stepheson,8/7/1987,California,Los Angeles,United States,F,6-10,270,USC,2011,UND,,,Alex Stepheson
Alex Stivrins,11/29/1962,Nebraska,Lincoln,United States,F,6-8,220,Colorado,1985,75,OKC,OKC,Alex Stivrins
Alexander Johnson,2/8/1983,Georgia,Albany,United States,F,6-9,240,Florida St,2006,45,IND,MEM,Alexander Johnson
Alexander Volkov,3/28/1964,Russia,Omsk,Ukraine,C,6-10,218,Stroitel,1986,134,ATL,ATL,Alexander Volkov
Alexey Shved,12/16/1988,Russia,Belgorod,Russia,G,6-6,187,CSKA Moscow,2010,UND,,,Alexey Shved
Alexis Ajinca,5/6/1988,France,Saint-Etienne,France,C,7-2,248,Hyeres-Toulon,2008,20,CHA,CHA,Alexis Ajinca
Alfonzo McKinnie,9/17/1992,Illinois,Chicago,United States,F,6-7,215,Wisconsin-Green Bay,2015,UND,,,Alfonzo McKinnie
Alfredrick Hughes,7/19/1962,Illinois,Chicago,United States,F,6-5,215,Loyola-Chicago,1985,14,SAS,SAS,Alfredrick Hughes
Alize Johnson,4/22/1996,Pennsylvania,Williamsport,United States,F,6-7,212,Missouri St,2018,50,IND,IND,Alize Johnson
Allan Bristow,8/23/1951,Virginia,Richmond,United States,F,6-7,210,Virginia Tech,1973,21,PHI,PHI,Allan Bristow
Allan Houston,4/20/1971,Kentucky,Louisville,United States,G,6-6,200,Tennessee,1993,11,DET,DET,Allan Houston
Allan Ray,6/17/1984,New York,New York City,United States,G,6-2,190,Villanova,2006,UND,,,Allan Ray
Allen Crabbe,4/9/1992,California,Los Angeles,United States,G-F,6-6,212,California,2013,31,CLE,POR,Allen Crabbe
Allen Iverson,6/7/1975,Virginia,Hampton,United States,G,6-0,165,Georgetown,1996,1,PHI,PHI,Allen Iverson
Allen Leavell,5/27/1957,Indiana,Muncie,United States,G,6-1,170,Oklahoma City,1979,104,HOU,HOU,Allen Leavell
Allen Murphy,7/15/1952,Alabama,Birmingham,United States,G,6-4,190,Louisville,1975,35,PHX,PHX,Allen Murphy
Allie McGuire,7/10/1951,New York,New York City,United States,G,6-3,175,Marquette,1973,49,NYK,NYK,Allie McGuire
Allonzo Trier,1/17/1996,Washington,Seattle,United States,G,6-5,200,Arizona,2018,UND,,,Allonzo Trier
Alondes Williams,6/19/1999,Wisconsin,Milwaukee,United States,G,6-4,210,Wake Forest,2022,UND,,,Alondes Williams
Alonzo Bradley,10/16/1953,Mississippi,Utica,United States,F,6-6,190,Texas Southern,1977,29,IND,HOU,Alonzo Bradley
Alonzo Gee,5/29/1987,Florida,Riviera Beach,United States,F,6-6,225,Alabama,2009,UND,,,Alonzo Gee
Alonzo Mourning,2/8/1970,Virginia,Chesapeake,United States,C,6-10,261,Georgetown,1992,2,CHA,CHA,Alonzo Mourning
Alperen Sengun,7/25/2002,Turkey,Giresun,Turkey,C,6-11,243,Besiktas,2021,16,OKC,HOU,Alperen Sengun
Alphonso Ford,10/31/1971,Mississippi,Greenwood,United States,F,6-1,190,Mississippi Valley St,1993,32,PHI,PHI,Alphonso Ford
Alton Ford,5/29/1981,Texas,Houston,United States,F,6-9,280,Houston,2001,50,PHX,PHX,Alton Ford
Alton Lister,10/1/1958,Texas,Dallas,United States,C-F,7-0,245,Arizona St,1981,21,MIL,MIL,Alton Lister
Alvan Adams,7/19/1954,Kansas,Lawrence,United States,C,6-9,210,Oklahoma,1975,4,PHX,PHX,Alvan Adams
Alvin Heggs,12/12/1967,Florida,Jacksonville,United States,F,6-8,225,Texas,1989,UND,,,Alvin Heggs
Alvin Jones,9/9/1978,Luxembourg,Luxembourg,Luxembourg,C,6-11,265,Georgia Tech,2001,56,PHI,PHI,Alvin Jones
Alvin Robertson,7/22/1962,Ohio,Barberton,United States,G,6-4,208,Arkansas,1984,7,SAS,SAS,Alvin Robertson
Alvin Scott,9/14/1955,Tennessee,Cleveland,United States,F,6-7,185,Oral Roberts,1977,136,PHX,PHX,Alvin Scott
Alvin Sims,10/18/1974,Kentucky,Paris,United States,G,6-4,235,Louisville,1997,UND,,,Alvin Sims
Alvin Williams,8/6/1974,Pennsylvania,Philadelphia,United States,G,6-5,195,Villanova,1997,47,POR,POR,Alvin Williams
Amal McCaskill,10/28/1973,Illinois,Maywood,United States,C,6-11,235,Marquette,1996,49,ORL,ORL,Amal McCaskill
Amare Stoudemire,11/16/1982,Florida,Lake Wales,United States,F-C,6-10,245,Cypress Creek HS (FL),2002,9,PHX,PHX,Amare Stoudemire
Amari Bailey,2/17/2004,Louisiana,New Orleans,United States,G,6-3,185,UCLA,2023,41,CHA,CHA,Amari Bailey
Amari Williams,1/28/2002,Great Britain,Nottingham,Great Britain,F-C,6-11,250,Kentucky,2025,46,ORL,BOS,Amari Williams
Amen Thompson,1/30/2003,California,San Leandro,United States,G-F,6-7,200,Overtime Elite,2023,4,HOU,HOU,Amen Thompson
Amida Brimah,2/11/1994,Ghana,Accra,Ghana,C,6-10,230,Connecticut,2017,UND,,,Amida Brimah
Amile Jefferson,5/7/1993,Pennsylvania,Philadelphia,United States,F,6-9,222,Duke,2017,UND,,,Amile Jefferson
Amir Coffey,6/17/1997,Minnesota,Hopkins,United States,G-F,6-7,210,Minnesota,2019,UND,,,Amir Coffey
Amir Johnson,5/1/1987,California,Los Angeles,United States,C-F,6-9,240,Westchester HS (CA),2005,56,DET,DET,Amir Johnson
Anderson Varejao,9/28/1982,Brazil,Santa Teresa,Brazil,F,6-11,273,Barcelona,2004,30,ORL,CLE,Anderson Varejao
Andrae Patterson,11/12/1975,California,Riverside,United States,F,6-9,238,Indiana,1998,46,MIN,MIN,Andrae Patterson
Andray Blatche,8/22/1986,New York,Syracuse,United States,C-F,6-11,260,South Kent HS (CT),2005,49,WAS,WAS,Andray Blatche
Andre Barrett,2/21/1982,New York,New York City,United States,G,5-10,173,Seton Hall,2004,UND,,,Andre Barrett
Andre Brown,5/12/1981,Illinois,Chicago,United States,F,6-9,245,DePaul,2004,UND,,,Andre Brown
Andre Dawkins,9/19/1991,Virginia,Fairfax,United States,G,6-5,219,Duke,2014,UND,,,Andre Dawkins
Andre Drummond,8/10/1993,New York,Mount Vernon,United States,C,6-11,279,Connecticut,2012,9,DET,DET,Andre Drummond
Andre Emmett,8/27/1982,Texas,Dallas,United States,G,6-5,230,Texas Tech,2004,35,OKC,MEM,Andre Emmett
Andre Iguodala,1/28/1984,Illinois,Springfield,United States,G-F,6-6,215,Arizona,2004,9,PHI,PHI,Andre Iguodala
Andre Ingram,11/19/1985,Virginia,Richmond,United States,G,6-3,190,American,2007,UND,,,Andre Ingram
Andre Jackson,11/13/2001,New York,Amsterdam,United States,G,6-6,209,Connecticut,2023,36,ORL,MIL,Andre Jackson
Andre McCarter,8/25/1953,Pennsylvania,Philadelphia,United States,G,6-3,190,UCLA,1976,89,SAC,SAC,Andre McCarter
Andre Miller,3/19/1976,California,Los Angeles,United States,G,6-3,200,Utah,1999,8,CLE,CLE,Andre Miller
Andre Moore,7/2/1964,Illinois,Chicago,United States,F,6-9,215,Loyola-Chicago,1987,31,DEN,DEN,Andre Moore
Andre Owens,10/31/1980,Indiana,Indianapolis,United States,G,6-4,200,Houston,2005,UND,,,Andre Owens
Andre Roberson,12/4/1991,New Mexico,Las Cruces,United States,G-F,6-7,210,Colorado,2013,26,MIN,OKC,Andre Roberson
Andre Spencer,7/20/1964,California,Stockton,United States,F,6-6,210,Northern Arizona,1986,UND,,,Andre Spencer
Andre Turner,12/13/1964,Tennessee,Memphis,United States,G,5-11,160,Memphis,1986,69,LAL,LAL,Andre Turner
Andre Wakefield,1/11/1955,Illinois,Chicago,United States,G,6-2,175,Loyola-Chicago,1978,107,PHX,PHX,Andre Wakefield
Andrea Bargnani,10/26/1985,Italy,Rome,Italy,C-F,7-0,245,Treviso,2006,1,TOR,TOR,Andrea Bargnani
Andreas Glyniadakis,8/26/1981,Greece,Hania,Greece,C,7-1,280,Peristeri,2003,58,DET,DET,Andreas Glyniadakis
Andrei Kirilenko,2/18/1981,Russia,Izhevsk,Russia,F,6-9,235,CSKA Moscow,1999,24,UTA,UTA,Andrei Kirilenko
Andres Guibert,10/28/1968,Cuba,Havana,Cuba,C,6-10,225,Cantera Instituto,1990,UND,,,Andres Guibert
Andres Nocioni,11/30/1979,Argentina,Santa Fe,Argentina,F,6-7,225,Manresa,2001,UND,,,Andres Nocioni
Andrew Bogut,11/28/1984,Australia,Melbourne,Australia,C,7-0,260,Utah,2005,1,MIL,MIL,Andrew Bogut
Andrew Bynum,10/27/1987,New Jersey,Plainsboro,United States,C,7-0,285,St. Joseph HS (NJ),2005,10,LAL,LAL,Andrew Bynum
Andrew DeClercq,2/1/1973,Michigan,Detroit,United States,C,6-10,255,Florida,1995,34,GSW,GSW,Andrew DeClercq
Andrew Funk,9/21/1999,Pennsylvania,Warrington,United States,G,6-5,200,Penn St,2023,UND,,,Andrew Funk
Andrew Gaze,7/24/1965,Australia,Melbourne,Australia,F,6-7,205,Seton Hall,1989,UND,,,Andrew Gaze
Andrew Goudelock,12/7/1988,Georgia,Gainesville,United States,G,6-3,200,Charleston,2011,46,LAL,LAL,Andrew Goudelock
Andrew Harrison,10/28/1994,Texas,San Antonio,United States,G,6-6,213,Kentucky,2015,44,PHX,MEM,Andrew Harrison
Andrew Lang,6/28/1966,Arkansas,Pine Bluff,United States,C,6-11,275,Arkansas,1988,28,PHX,PHX,Andrew Lang
Andrew Levane,4/11/1920,New York,New York City,United States,F,6-2,190,St. John's,1947,UND,,,Andrew Levane
Andrew Nembhard,1/16/2000,Canada,Aurora,Canada,G-F,6-4,191,Gonzaga,2022,31,IND,IND,Andrew Nembhard
Andrew Nicholson,12/8/1989,Canada,Mississauga,Canada,F,6-9,250,St. Bonaventure,2012,19,ORL,ORL,Andrew Nicholson
Andrew Toney,11/23/1957,Alabama,Birmingham,United States,G,6-3,178,Louisiana-Lafayette,1980,8,PHI,PHI,Andrew Toney
Andrew White,6/16/1993,Virginia,Richmond,United States,F,6-7,210,Syracuse,2017,UND,,,Andrew White
Andrew Wiggins,2/23/1995,Canada,Toronto,Canada,F,6-7,197,Kansas,2014,1,CLE,CLE,Andrew Wiggins
Andris Biedrins,4/2/1986,Latvia,Riga,Latvia,C,7-0,242,BK Skonto,2004,11,GSW,GSW,Andris Biedrins
Andy Duncan,4/17/1922,Georgia,Burford,United States,F,6-6,195,William & Mary,1947,53,NYK,SAC,Andy Duncan
Andy Johnson,11/8/1932,California,Los Angeles,United States,F,6-5,215,Portland,1954,UND,,,Andy Johnson
Andy Kostecka,2/10/1921,New Jersey,Newark,United States,F,6-3,203,Georgetown,1948,62,INJ,INJ,Andy Kostecka
Andy O'Donnell,3/10/1925,Pennsylvania,Freeland,United States,G,6-1,180,Loyola-Maryland,1950,UND,,,Andy O'Donnell
Andy Panko,11/29/1977,Pennsylvania,Harrisburg,United States,F,6-9,245,Lebanon Valley,1999,UND,,,Andy Panko
Andy Phillip,3/7/1922,Illinois,Granite City,United States,G,6-3,195,Illinois,1947,47,CHS,CHS,Andy Phillip
Andy Rautins,11/2/1986,New York,Syracuse,Canada,G,6-4,190,Syracuse,2010,38,NYK,NYK,Andy Rautins
Andy Tonkovich,11/1/1922,West Virginia,Barrackville,United States,G,6-1,185,Marshall,1948,1,PRO,PRO,Andy Tonkovich
Andy Toolson,1/19/1966,Illinois,Chicago,United States,F,6-6,210,Brigham Young,1990,UND,,,Andy Toolson
Andy Walker,3/25/1955,New York,Long Island City,United States,G,6-4,190,Niagara,1976,111,UTA,UTA,Andy Walker
Anfernee Hardaway,7/18/1971,Tennessee,Memphis,United States,G-F,6-7,215,Memphis,1993,3,GSW,ORL,Anfernee Hardaway
Anfernee Simons,6/8/1999,Florida,Longwood,United States,G,6-3,193,Edgewater HS (FL),2018,24,POR,POR,Anfernee Simons
Angel Delgado,11/20/1994,Dominican Republic,Santo Domingo,Dominican Republic,C,6-10,245,Seton Hall,2018,UND,,,Angel Delgado
Angelo Musi,7/25/1918,Pennsylvania,Philadelphia,United States,G,5-9,145,Temple,,,,,Angelo Musi
Ansu Sesay,7/29/1976,North Carolina,Greensboro,United States,F,6-9,225,Mississippi,1998,30,DAL,DAL,Ansu Sesay
Antawn Jamison,6/12/1976,Louisiana,Shreveport,United States,F,6-9,235,North Carolina,1998,4,TOR,GSW,Antawn Jamison
Ante Zizic,1/4/1997,Croatia,Split,Croatia,C,6-10,266,Cibona,2016,23,BOS,BOS,Ante Zizic
Anthony Avent,10/18/1969,North Carolina,Rocky Mount,United States,C,6-9,240,Seton Hall,1991,15,ATL,MIL,Anthony Avent
Anthony Barber,7/25/1994,Newport News,Virginia,United States,G,6-1,173,North Carolina St,2016,UND,,,Anthony Barber
Anthony Bennett,3/14/1993,Canada,Toronto,Canada,F,6-8,245,UNLV,2013,1,CLE,CLE,Anthony Bennett
Anthony Black,1/20/2004,Texas,Duncanville,United States,G,6-7,200,Arkansas,2023,6,ORL,ORL,Anthony Black
Anthony Bonner,6/8/1968,Missouri,St. Louis,United States,F,6-8,230,St. Louis,1990,23,SAC,SAC,Anthony Bonner
Anthony Bowie,11/9/1963,Oklahoma,Tulsa,United States,G,6-6,200,Oklahoma,1986,66,HOU,HOU,Anthony Bowie
Anthony Brown,10/10/1992,California,Bellflower,United States,F-G,6-7,224,Stanford,2015,34,LAL,LAL,Anthony Brown
Anthony Carter,6/16/1975,Wisconsin,Milwaukee,United States,G,6-2,195,Hawaii,1998,UND,,,Anthony Carter
